0 0
0.6 0

0.6 0
0.6 0.819168

0.6 0.819168
0 0

0 0
0.6 0.819168

0.6 0.819168
0 0.8

0 0.8
0 0

0.6 0
1.2 0

1.2 0
1.2 0.844276

1.2 0.844276
0.6 0

0.6 0
1.2 0.844276

1.2 0.844276
0.6 0.819168

0.6 0.819168
0.6 0

1.2 0
1.8 0

1.8 0
1.8 0.883393

1.8 0.883393
1.2 0

1.2 0
1.8 0.883393

1.8 0.883393
1.2 0.844276

1.2 0.844276
1.2 0

1.8 0
2.4 0

2.4 0
2.4 0.951765

2.4 0.951765
1.8 0

1.8 0
2.4 0.951765

2.4 0.951765
1.8 0.883393

1.8 0.883393
1.8 0

2.4 0
3 0

3 0
3 1.08226

3 1.08226
2.4 0

2.4 0
3 1.08226

3 1.08226
2.4 0.951765

2.4 0.951765
2.4 0

3 0
3.6 0.4

3.6 0.4
3.6 1.31248

3.6 1.31248
3 0

3 0
3.6 1.31248

3.6 1.31248
3 1.08226

3 1.08226
3 0

3.6 0.4
4.2 0.8

4.2 0.8
4.2 1.57428

4.2 1.57428
3.6 0.4

3.6 0.4
4.2 1.57428

4.2 1.57428
3.6 1.31248

3.6 1.31248
3.6 0.4

4.2 0.8
4.8 1.2

4.8 1.2
4.8 1.84869

4.8 1.84869
4.2 0.8

4.2 0.8
4.8 1.84869

4.8 1.84869
4.2 1.57428

4.2 1.57428
4.2 0.8

4.8 1.2
5.4 1.6

5.4 1.6
5.4 2.11665

5.4 2.11665
4.8 1.2

4.8 1.2
5.4 2.11665

5.4 2.11665
4.8 1.84869

4.8 1.84869
4.8 1.2

5.4 1.6
6 2

6 2
6 2.3367

6 2.3367
5.4 1.6

5.4 1.6
6 2.3367

6 2.3367
5.4 2.11665

5.4 2.11665
5.4 1.6

6 2
6.6 2

6.6 2
6.6 2.37817

6.6 2.37817
6 2

6 2
6.6 2.37817

6.6 2.37817
6 2.3367

6 2.3367
6 2

6.6 2
7.2 2

7.2 2
7.2 2.39183

7.2 2.39183
6.6 2

6.6 2
7.2 2.39183

7.2 2.39183
6.6 2.37817

6.6 2.37817
6.6 2

7.2 2
7.8 2

7.8 2
7.8 2.39687

7.8 2.39687
7.2 2

7.2 2
7.8 2.39687

7.8 2.39687
7.2 2.39183

7.2 2.39183
7.2 2

7.8 2
8.4 2

8.4 2
8.4 2.39892

8.4 2.39892
7.8 2

7.8 2
8.4 2.39892

8.4 2.39892
7.8 2.39687

7.8 2.39687
7.8 2

8.4 2
9 2

9 2
9 2.4

9 2.4
8.4 2

8.4 2
9 2.4

9 2.4
8.4 2.39892

8.4 2.39892
8.4 2

0 0.8
0.6 0.819168

0.6 0.819168
0.6 1.62903

0.6 1.62903
0 0.8

0 0.8
0.6 1.62903

0.6 1.62903
0 1.6

0 1.6
0 0.8

0.6 0.819168
1.2 0.844276

1.2 0.844276
1.2 1.66487

1.2 1.66487
0.6 0.819168

0.6 0.819168
1.2 1.66487

